source,sourceId,name,slug,amenity,category,areaHint,address,latitude,longitude,phone,website,instagram,imageUrl,imageSource,imageStatus,realImageUrl,fallbackCoverImage,openingHours,cuisine,internetAccess,hasWifiSignal,wfcScore,curationStatus,notes
openstreetmap,node/11064518681,Altilis Coffee,altilis-coffee,cafe,coffee_shop,Sleman,"Jalan Baru Mulungan, 88, Sleman",-7.7273582,110.3646145,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,Mo-Su 11:00-23:00,coffee_shop;asian;indonesian,wlan,true,4,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/6097924119,Amongcoffee,amongcoffee,cafe,coffee_shop,Sleman,"Jalan Nusa Indah, Blok B 12, Sleman",-7.776361,110.3457892,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,Mo-Su 09:00-18:00,coffee_shop,yes,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/10603443058,Anak Panah Kopi,anak-panah-kopi,cafe,coffee_shop,,,-7.7872561,110.3530087,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,pizza;coffee_shop;daerahregional;international,wlan,true,4,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,way/1365294278,Anargya Koffie,anargya-koffie,cafe,cafe,Daerah Istimewah Yogyakarta,"Jl. Ir Bugiskso, brengosan, donoharjo, Daerah Istimewah Yogyakarta",-7.6905372,110.3861147,082241934863,https://www.instagram.com/anargya.koffie?igsh=ZzRtaDl3ZTV2YXNy&utm_source=qr,,/dataset-images/wfc-cafe.svg,fallback-cover,fallback,,/dataset-images/wfc-cafe.svg,Mo-Su 11:00-22:00,coffee_shop;brunch;indonesian,wlan,true,4,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/12022137218,Angop Coffee,angop-coffee,cafe,coffee_shop,,,-7.7610385,110.4468264,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/12357566598,ARSY COFFEE,arsy-coffee,cafe,coffee_shop,,,-7.750871,110.3662923,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/6507784886,Awor Gallery & Coffee,awor-gallery-coffee,cafe,coffee_shop,,Jalan Cornelis Simanjuntak,-7.780282,110.3734817,+62 821 3561 8881,https://www.facebook.com/awor.gallery,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,Mo-Su 09:00-00:00,coffee_shop,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/12022137215,Bangun Djaya Coffee,bangun-djaya-coffee,cafe,coffee_shop,,,-7.7600667,110.4471156,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,way/1016776292,Basabasi Nologaten,basabasi-nologaten,cafe,cafe,"Nologaten Caturtunggal, Depok Sleman Yogyakarta","Jalan Jatempanol, Nologaten Caturtunggal, Depok Sleman Yogyakarta",-7.7782358,110.3993962,,,,/dataset-images/wfc-cafe.svg,fallback-cover,fallback,,/dataset-images/wfc-cafe.svg,,,wlan,true,4,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/5595948421,Believe Coffee,believe-coffee,cafe,coffee_shop,,,-7.8197785,110.3674541,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/9704544334,belikopi.,belikopi,cafe,coffee_shop,,,-7.7640881,110.4114839,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,way/362687911,Bento Kopi Reserve,bento-kopi-reserve,cafe,coffee_shop,Pogung Kidul,"Jalan Pandega Marta, Pogung Kidul",-7.7561698,110.3737982,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,coffee_shop,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,way/1016776293,Bento Nologaten,bento-nologaten,cafe,cafe,"Nologaten Caturtunggal, Depok Sleman Yogyakarta","Jalan Jatempanol, Nologaten Caturtunggal, Depok Sleman Yogyakarta",-7.7783948,110.399829,,,,/dataset-images/wfc-cafe.svg,fallback-cover,fallback,,/dataset-images/wfc-cafe.svg,,,wlan,true,4,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,way/362388248,Bilik Kopi,bilik-kopi,cafe,coffee_shop,,,-7.7161353,110.4065766,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/7972742685,Bincang Kopi,bincang-kopi,cafe,coffee_shop,,"Jalan Cik Di Tiro, 36",-7.7780601,110.3759366,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,Mo-Su 17:30-23:30,coffee_shop;indonesian;noodles;tea,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/3621462268,BlackBone Coffee,blackbone-coffee,cafe,coffee_shop,,,-7.7606603,110.3819646,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/12583061751,Bumi Seduh Coffee,bumi-seduh-coffee,cafe,coffee_shop,,,-7.828852,110.3802925,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,way/510477802,Cafe Kopi Sedaya,cafe-kopi-sedaya,cafe,coffee_shop,,,-7.7312856,110.3833689,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,16:00-24:00,,yes,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/12965873082,Crônica Creative Workspace,cronica-creative-workspace,,coworking_space,Yogyakarta,"Jalan A.M. Sangaji, 62, Yogyakarta",-7.7755597,110.3681831,,https://antologi.group/cronica/,antologispace,https://antologi.group/wp-content/themes/anto/assets/img/Moshi_images/Moshi_red.png,website-og-image,scraped,https://antologi.group/wp-content/themes/anto/assets/img/Moshi_images/Moshi_red.png,/dataset-images/wfc-coworking.svg,Mo-Su 07:00-22:00,,wlan,true,5,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/13111983539,Crônica Workspace,cronica-workspace,cafe,cafe,,,-7.7755521,110.3681848,,,,/dataset-images/wfc-cafe.svg,fallback-cover,fallback,,/dataset-images/wfc-cafe.svg,,,,false,5,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/6444449985,Cup of Java (luwak kopi),cup-of-java-luwak-kopi,cafe,coffee_shop,,,-7.809716,110.3589076,,https://kedai-coffee-cup-of-java-jogjakarta.business.site,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,indonesian,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,way/362361289,CW Coffee,cw-coffee,cafe,coffee_shop,,,-7.7730415,110.4095564,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,wlan,true,4,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/11109933339,DK Carwash & Coffee Corner,dk-carwash-coffee-corner,car_wash,coffee_shop,Sleman,"Jalan Sukoharjo, 777, Sleman",-7.7522352,110.398489,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,Mo-Su 08:00-22:00,,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,way/758145541,Doa Ibu Coffee,doa-ibu-coffee,cafe,coffee_shop,Sleman,"Jalan Kaliurang, Km. 9,6, Sleman",-7.7246708,110.4007387,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,coffee_shop,wlan,true,4,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/4590296610,Dongeng kopi jogja,dongeng-kopi-jogja,cafe,coffee_shop,,,-7.7596505,110.4036516,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/11061460605,Dropshot Espresso Bar,dropshot-espresso-bar,cafe,coffee_shop,,,-7.8193423,110.3730208,,,dropshotespresso,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,Mo-Su 08:00-23:30,,wlan,true,4,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/12114421513,Dua Kerbau Kopi & Roti,dua-kerbau-kopi-roti,cafe,coffee_shop,,,-7.735646,110.3988362,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/6214984585,Ekologi Desk & Coffee,ekologi-desk-coffee,cafe,coffee_shop,,"Jalan Pandean Sari, 10a",-7.7583319,110.3920192,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,wlan,true,4,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/5243796921,Epic coffee,epic-coffee,cafe,coffee_shop,,,-7.7342053,110.3774333,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,coffee_shop;tea;cake,wlan,true,4,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/6444539905,Fasade coffee & space,fasade-coffee-space,,coffee_shop,,,-7.7097165,110.4092707,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,yes,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,way/362500101,Fine Coffee,fine-coffee,cafe,coffee_shop,Sleman,"Jalan Kaliurang, Nomor 32, Sleman",-7.7049492,110.4125467,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/10309916632,Fore Coffee,fore-coffee,cafe,coffee_shop,,,-7.7602115,110.3810942,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,coffee_shop,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/13086085481,Fore Coffee,fore-coffee,cafe,coffee_shop,,,-7.7830052,110.4014645,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,coffee_shop,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/11449264628,Gahwa Coffee Jogja,gahwa-coffee-jogja,cafe,coffee_shop,,Jalan Raya Kayen,-7.7361063,110.427015,,https://gahwacoffeejogja.antarinmakan.com,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,Mo-Su 16:00-00:00,,wlan,true,4,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,way/636775006,Global Intermedia Bootcamp & Coworking Space,global-intermedia-bootcamp-coworking-space,,other,Yogyakarta,"Jl. Joyonegaran MG II, 925, Yogyakarta",-7.8075713,110.378072,,,,/dataset-images/wfc-cafe.svg,fallback-cover,fallback,,/dataset-images/wfc-cafe.svg,,,,false,3,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/11342743369,Greeya Coffee,greeya-coffee,cafe,coffee_shop,,,-7.7697059,110.4240834,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,Mo-Su 14:00-00:00,,wlan,true,4,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/9810288275,Gudangkopi Indonesia,gudangkopi-indonesia,,coffee_shop,,,-7.7823171,110.388024,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,Mo-Su 07:00-23:00,,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/4875778821,Heiho Loewak Coffee,heiho-loewak-coffee,cafe,coffee_shop,,,-7.8096392,110.3610681,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/3914446536,Hestek Kopi,hestek-kopi,cafe,coffee_shop,,,-7.7580522,110.381883,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/4946539428,Hidden Milk and Meals,hidden-milk-and-meals,cafe,cafe,,,-7.8075515,110.3391423,,,,/dataset-images/wfc-cafe.svg,fallback-cover,fallback,,/dataset-images/wfc-cafe.svg,Mo-Su 12:00-23:55,italian;indonesian;noodles,wlan,true,4,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/13430636401,HS Coffee Social Space,hs-coffee-social-space,cafe,coffee_shop,,,-7.7757694,110.4117814,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/4932159921,Icipono,icipono,cafe,cafe,,,-7.8136966,110.3686837,,,,/dataset-images/wfc-cafe.svg,fallback-cover,fallback,,/dataset-images/wfc-cafe.svg,,cake;coffee_shop,wlan,true,4,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/4063417060,Internet cafe,internet-cafe,internet_cafe,cafe,,,-7.8231617,110.361285,,,,/dataset-images/wfc-cafe.svg,fallback-cover,fallback,,/dataset-images/wfc-cafe.svg,,,,true,4,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/4063417061,Internet cafe,internet-cafe,cafe,cafe,,,-7.822373,110.3615389,,,,/dataset-images/wfc-cafe.svg,fallback-cover,fallback,,/dataset-images/wfc-cafe.svg,,,,true,4,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/4063417182,Internet cafe,internet-cafe,internet_cafe,cafe,,,-7.8269777,110.3606362,,,,/dataset-images/wfc-cafe.svg,fallback-cover,fallback,,/dataset-images/wfc-cafe.svg,,,,true,4,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,way/409434435,Jogja Digital Valley,jogja-digital-valley,coworking_space,coworking_space,,,-7.7797566,110.3779844,,https://jogjadigitalvalley.com/,,/dataset-images/wfc-coworking.svg,fallback-cover,fallback,,/dataset-images/wfc-coworking.svg,,,,false,3,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/11034114391,Kafe Le Solé,kafe-le-sole,cafe,cafe,,,-7.780871,110.3775615,,,,/dataset-images/wfc-cafe.svg,fallback-cover,fallback,,/dataset-images/wfc-cafe.svg,Mo-Fr 08:00-21:00; Sa 10:00-20:00,,wlan,true,4,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,way/637397667,Kalimilk,kalimilk,cafe,cafe,Sleman,"Jalan Kaliurang, Sleman",-7.7629334,110.379942,,,,/dataset-images/wfc-cafe.svg,fallback-cover,fallback,,/dataset-images/wfc-cafe.svg,Mo-Su 10:00-22:00,milk,wlan,true,4,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/7276219185,Kebon Ndalem,kebon-ndalem,cafe,cafe,,,-7.7825535,110.3668646,,,,/dataset-images/wfc-cafe.svg,fallback-cover,fallback,,/dataset-images/wfc-cafe.svg,,indonesian;breakfast,wlan,true,4,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,way/491024456,Kedai Domore,kedai-domore,cafe,cafe,Sleman,"Gang Buntu, Sleman",-7.7653365,110.3794572,,,,/dataset-images/wfc-cafe.svg,fallback-cover,fallback,,/dataset-images/wfc-cafe.svg,16:00-22:00,regional,wlan,true,4,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,way/509816897,Kedai Kopi Espresso Bar,kedai-kopi-espresso-bar,cafe,coffee_shop,,,-7.7494636,110.3869207,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,11:00-01:00,,yes,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/6009402149,Kedai Kopi Paste,kedai-kopi-paste,cafe,coffee_shop,,,-7.7641875,110.3791357,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/13573729794,Kedai Kopi Rivea,kedai-kopi-rivea,cafe,coffee_shop,Kabupaten Sleman,"Jl. Magelang Jl. Pelda Sugiono, Kabupaten Sleman",-7.7091385,110.355438,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,Mo-Su 06:00-23:00,coffee_shop,yes,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/7247145208,Kedai NyonyaMuda,kedai-nyonyamuda,cafe,cafe,Ambarketawang,"Jalan Wates, Ambarketawang",-7.8008599,110.3216516,+62 82183822357,,https://www.instagram.com/kedainyonyamuda,/dataset-images/wfc-cafe.svg,fallback-cover,fallback,,/dataset-images/wfc-cafe.svg,Mo-Su 15:00-24:00,japanese;local;regional;indonesian;coffee_shop,wlan,true,4,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/10831714353,Kedai Teh LORĒ,kedai-teh-lore,cafe,cafe,,,-7.7276808,110.4267562,,,,/dataset-images/wfc-cafe.svg,fallback-cover,fallback,,/dataset-images/wfc-cafe.svg,24/7,,wlan,true,5,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/9855873136,Ketemu Kopi & Roastery,ketemu-kopi-roastery,,coffee_shop,,,-7.8209039,110.3619205,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,way/610172625,Ketemu Kopi & Roastery,ketemu-kopi-roastery,cafe,coffee_shop,yogyakarta,"Jalan Mangkuyudan, yogyakarta",-7.8206147,110.3620298,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,coffee_shop,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/11202254937,Kobessah Kopi 2,kobessah-kopi-2,cafe,coffee_shop,,,-7.7281395,110.4036185,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/6732315340,Kopen Coffee,kopen-coffee,cafe,coffee_shop,Condong Catur,"Jalan Harjosudiro, 10, Condong Catur",-7.7560014,110.4019174,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/5559372321,Kopi Aceh,kopi-aceh,cafe,coffee_shop,,Jalan Alun Alun Utara,-7.805097,110.3655198,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/4590872603,Kopi Bule,kopi-bule,cafe,coffee_shop,,,-7.785142,110.3735987,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/12866147178,Kopi Inah,kopi-inah,cafe,coffee_shop,,,-7.8145488,110.4146606,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,coffee_shop,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/13434256392,"Kopi Johar, Kedai Kopi Yogyakarta",kopi-johar-kedai-kopi-yogyakarta,cafe,coffee_shop,Yogyakarta,"Jalan Beo, 42A, Yogyakarta",-7.7744981,110.3951265,,https://sites.google.com/view/kopijohar/home?authuser=0,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,coffee_shop,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/1697828567,Kopi Jos,kopi-jos,cafe,coffee_shop,,Jalan Wongsodirjan,-7.788877,110.365722,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/11541865783,Kopi Kampung Ambarrukmo,kopi-kampung-ambarrukmo,cafe,coffee_shop,,Jalan Kampung Ambarrukmo,-7.7875735,110.4038426,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,wlan,true,4,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
